"	num_examples	official_name_id_x	id	text_name	author	rank	deprecated	synonym_id	correct_spelling_id	official_name_id_y",,,
"651	243	1208.0	1208	Heterotextus alpinus	(Tracy & Earle) G.W. Martin	4	0	3106.0		-1",,,
"284	244	414.0	414	Scleroderma cepa	Pers.	4	0	3873.0		-1",,,
"1291	245	2814.0	2814	Leccinum holopus	(Rostk.) Watling	4	0	2918.0		-1",,,
"156	246	232.0	232	Hydnellum peckii	Banker	4	0	664.0		-1",,,
"219	246	316.0	316	Clavulinopsis laeticolor	(Berk. & M.A. Curtis) R.H. Petersen	4	0	74.0		-1",,,
"6448	246	29219.0	29219	Pholiotina smithii	(Watling) Enderle 1999	4	0	3845.0		-1",,,
"1224	250	2708.0	2708	Laccaria amethystina	Cooke	4	0	220.0		-1",,,
"855	251	1742.0	1742	Clavulinopsis fusiformis	(Sowerby) Corner	4	0	3039.0		-1",,,
"257	252	380.0	380	Amanita constricta	Thiers & Ammirati	4	0			-1",,,
"513	252	952.0	952	Hypomyces hyalinus	(Schwein.) Tul. & C. Tul.	4	0			-1",,,
"5228	254	22604.0	22604	Fomes fomentarius	(L.) Fr.	4	0	5498.0		-1",,,
"5492	254	24970.0	24970	Pycnoporus sanguineus	(L.) Murrill	4	0	4378.0		-1",,,
"1243	255	2734.0	2734	Lactarius deceptivus	Peck	4	0			-1",,,
"9108	256	50827.0	50827	Aureoboletus innixus	(Frost) Halling"," A.R. Bessette & A.E. Bessette	4	0	4827.0		-1",,
"127	257	191.0	191	Leccinum manzanitae	Thiers	4	0			-1",,,
"4195	257	16315.0	16315	Entoloma vernum	S. Lundell	4	0	2662.0		-1",,,
"3398	258	12311.0	12311	Peltigera praetextata	(FlÃ¶rke ex Sommerf.) Zopf	4	0	1886.0		-1",,,
"507	259	943.0	943	Cantharellus subalbidus	Smith & Morse	4	0			-1",,,
"8008	259	42062.0	42062	Byssomerulius incarnatus	(Schwein.) Gilb.	4	0	538.0		-1",,,
"313	260	457.0	457	Amanita aprica	J. Lindgr. & Tulloss	4	0	3115.0		-1",,,
"1602	260	3640.0	3640	Russula mariae	Peck	4	0			-1",,,
"1920	260	4860.0	4860	Amanita polypyramis	(Berk. & M.A. Curtis) Sacc.	4	0	4229.0		-1",,,
"4735	260	19316.0	19316	Amanita velatipes	G.F. Atk.	4	0	3021.0		-1",,,
"210	261	304.0	304	Coltricia cinnamomea	(Jacq.) Murrill	4	0			-1",,,
"786	261	1495.0	1495	Agaricus sylvicola	(Vittad.) Peck	4	0	19.0		-1",,,
"2114	262	5479.0	5479	Pluteus romellii	(Britzelm.) Lapl.	4	0	2516.0		-1",,,
"482	263	907.0	907	Hydnellum aurantiacum	(Batsch) P. Karst.	4	0	663.0		-1",,,
"4586	263	18360.0	18360	Panaeolus olivaceus	F.H. MÃ¸ller	4	0	2935.0		-1",,,
"227	264	327.0	327	Caulorhiza umbonata	(Peck) Lennox	4	0			-1",,,
"1759	264	3994.0	3994	Urnula craterium	(Schwein.) Fr.	4	0			-1",,,
"4024	264	16001.0	16001	Boletus subcaerulescens	( E.A. Dick & Snell) Both"," Bessette & A.R. Bessette	4	0			-1",,
"379	265	564.0	564	Mycena purpureofusca	(Peck) Sacc.	4	0	5722.0		-1",,,
"635	265	1175.0	1175	Geastrum saccatum	Fr.	4	0	2705.0		-1",,,
"1279	265	2788.0	2788	Lactarius vinaceorufescens	A.H. Sm.	4	0			-1",,,
"357	266	528.0	528	Mycena leptocephala	(Pers.) Gillet	4	0	4700.0		-1",,,
"432	268	668.0	668	Lepiota clypeolaria	(Bull.) P. Kumm.	4	0			-1",,,
"751	268	1415.0	1415	Amanita daucipes	(Mont.) Lloyd	4	0	2988.0		-1",,,
"5447	268	24745.0	24745	Russula compacta	Frost & Peck	4	0	3011.0		-1",,,
"9668	268	59507.0	59507	Sutorius luridiformis	(Rostk.) G. Wu & Zhu L. Yang	4	0	6065.0		-1",,,
"2049	269	5304.0	5304	Xanthoconium purpureum	Snell & E.A. Dick	4	0	2627.0		-1",,,
"2234	269	5770.0	5770	Xylocoremium flabelliforme	(Schw.: Fr.) J.D. Rogers	4	0	3885.0		-1",,,
"2478	269	6406.0	6406	Flavoparmelia caperata	(L.) Hale	4	0	1287.0		-1",,,
"5506	269	25047.0	25047	Pluteus chrysophlebius	(Berk. & M.A. Curtis) Sacc.	4	0	3855.0		-1",,,
"601	271	1111.0	1111	Boletus longicurvipes	Snell and A.H. Smith	4	0	2597.0		-1",,,
"1615	271	3657.0	3657	Russula variata	Banning	4	0			-1",,,
"5564	271	25234.0	25234	Amanita gemmata	(Fr.) Bertill.	4	0	4998.0		-1",,,
"1981	272	5092.0	5092	Coprinellus flocculosus	(DC.) Vilgalys"," Hopple & Jacq. Johnson	4	0	6170.0		-1",,
"7089	272	30732.0	30732	Amanita rhacopus	Y. Lamoureux nom. prov.	4	0	4135.0		-1",,,
"7422	273	33369.0	33369	Paralepista flaccida	(Sowerby) Vizzini	4	0	4040.0		-1",,,
"1095	274	2367.0	2367	Gymnopus luxurians	(Peck) Murrill	4	0	144.0		-1",,,
