id	name	north	south	east	west
172	Fort Bragg, California, USA	39.4818	39.3831	-123.655	-123.835
173	Junipero Serra Park, San Mateo Co., California, USA	37.6142	37.6039	-122.417	-122.428
174	Pollock Pines, El Dorado Co., California, USA	38.7969	38.7214	-120.445	-120.624
175	Pacific Palisades, California, USA	34.0959	34.0083	-118.487	-118.621
176	Ojai, California, USA	34.4901	34.3723	-119.141	-119.386
177	Copper Mountain, Summit Co., Colorado, USA	39.5591	39.4277	-106.087	-106.228
178	Mashpee, Massachusetts, USA	41.6786	41.6006	-70.4505	-70.5199
179	San Jose, California, USA	37.4422	37.2281	-121.751	-122.044
180	Orlando, Florida, USA	28.746	28.3141	-81.1395	-81.6367
181	Angel Fire, New Mexico, USA	36.4555	36.3317	-105.211	-105.355
182	Huddart Park, Woodside, California, USA	37.4488	37.4236	-122.28	-122.318
183	Soquel, California, USA	37.0791	36.9661	-121.907	-122.002
184	Cotati, California, USA	38.3408	38.3085	-122.673	-122.728
185	Nevada City, California, USA	39.2785	39.2381	-120.996	-121.047
186	Glendale, California, USA	34.1828	34.1431	-118.207	-118.3
187	San Anselmo, California, USA	37.9956	37.9637	-122.552	-122.584
188	Corte Madera, California, USA	37.9418	37.9155	-122.496	-122.54
189	Alpine Lake, Marin Co., California, USA	37.9622	37.9338	-122.616	-122.64
190	San Luis Obispo Co., California, USA	35.6528	34.8769	-119.718	-120.965
191	Seattle, Washington, USA	47.7341	47.4926	-122.224	-122.436
192	Golden Gate Park, San Francisco, California, USA	37.7746	37.7634	-122.453	-122.514
193	Monte Bello Open Space Preserve, La Honda, California, USA	37.3262	37.3153	-122.172	-122.186
194	Los Altos, California, USA	37.3846	37.3523	-122.077	-122.114
195	Woodside, California, USA	37.4438	37.4044	-122.236	-122.3
197	Harden Flat, Tuolumne Co., California, USA	37.8246	37.8023	-119.899	-119.959
198	Trinity Co., California, USA	41.16	40.2187	-122.706	-123.486
199	Pomo Campground, Jenner, California, USA	38.4525	38.395	-123.07	-123.126
200	Annadel State Park, Sonoma Co., Santa Rosa, California, USA	38.4611	38.3998	-122.573	-122.653
201	Hidden Villa, Los Altos Hills, California, USA	37.3565	37.3303	-122.145	-122.176
202	Silver Peak, Mount Baker-Snoqualmie National Forest, Washington, USA	47.3979	47.3239	-121.417	-121.54
203	Pass Island, Skagit Co., Washington, USA	48.4208	48.3918	-122.607	-122.677
204	Hoh Rainforest, Olympic National Park, Jefferson Co., Washington, USA	47.8749	47.8167	-123.835	-124.033
205	Santa Clara Co., California, USA	37.453	37.0255	-121.408	-122.176
206	Marin City, California, USA	37.8807	37.8647	-122.502	-122.523
207	Coastal Monterey Co., California, USA	36.8467	35.7955	-121.366	-122.003
208	Fort Ord, Seaside, California, USA	36.6563	36.5946	-121.732	-121.818
209	Norfolk Co., Ontario, Canada	42.9846	42.5268	-80.1453	-80.7385
210	Cook Co., Illinois, USA	42.1542	41.4685	-87.526	-88.269
211	Natrona Co., Wyoming, USA	43.421	42.2936	-106.04	-107.468
212	Gallatin Co., Montana, USA	46.3318	44.4808	-110.918	-111.929
213	Kingsbury, New York, USA	43.3841	43.3367	-73.5033	-73.5734
214	North Carolina, USA	36.5273	34.7416	-75.8496	-83.7598
215	San Salvador Island, The Bahamas	24.1518	23.9348	-74.42	-74.5738
216	Malibu Creek State Park, Malibu, California, USA	34.1266	34.064	-118.7	-118.78
217	Cleveland National Forest, Riverside Co., California, USA	33.8636	33.452	-117.317	-117.658
218	Plaskett Meadows, Glenn Co., California, USA	39.7378	39.7104	-122.823	-122.867
219	Kent Lake, Marin Co., California, USA	37.9997	37.9604	-122.657	-122.709
220	Lake Tahoe, California, USA	39.2705	38.8611	-120.004	-120.248
221	Mumbai, Maharashtra, India	19.2695	18.8908	72.98	72.7759
222	Garberville, California, USA	40.1272	40.0733	-123.753	-123.828
223	Topanga Canyon, California, USA	34.1311	34.0288	-118.536	-118.632
224	Los Angeles Co., California, USA	34.8232	32.75	-117.646	-118.952
225	Evergreen Rd., Stanislaus National Forest, Tuolumne Co., California, USA	37.8833	37.8101	-119.844	-119.876
226	Huntingdon Co., Pennsylvania, USA	40.7218	40.147	-77.752	-78.175
227	Fairfield, Connecticut, USA	41.1595	41.1156	-73.2225	-73.3008
228	Bushland Park, Lane Cove, New South Wales, Australia	-33.8183	-33.8297	151.184	151.175
229	Magalia, California, USA	39.8702	39.8033	-121.564	-121.614
230	Salmon River State Forest, Westchester, Connecticut, USA	41.5733	41.5466	-72.408	-72.4504
231	Nibletts Bluff Park, Vinton, Louisiana, USA	30.2288	30.1564	-93.631	-93.7182
232	Medicine Lake, Mount Shasta, California, USA	41.6401	41.4427	-121.47	-121.816
233	Toro Park, Monterey Co., California, USA	36.6199	36.5483	-121.607	-121.716
234	Harms Woods, near Harms Rd. and Old Orchard Rd., near Glenview, Illinois, USA	42.0815	42.0456	-87.7596	-87.7902
235	Prior Lake, Minnesota, USA	44.7555	44.6853	-93.3865	-93.4937
236	Taita Hills, Coast Prov., Kenya	-3.2721	-3.486	38.4686	38.2654
237	Arnprior, Ontario, Canada	45.4515	45.3965	-76.274	-76.4188
238	Union Co., New Jersey, USA	40.776	40.638	-74.213	-74.41
239	El Dorado Co., California, USA	38.9765	38.5954	-119.861	-120.943
240	Jedediah Smith State Park, Del Norte Co., California, USA	41.8396	41.7293	-124.059	-124.148
241	Allegheny Co., Pennsylvania, USA	40.6745	40.1943	-79.6907	-80.3609
242	Kansas, USA	39.9434	37.0201	-94.6143	-102.041
243	Schmitz Preserve Park, Seattle, Washington, USA	47.5776	47.5711	-122.397	-122.403
244	New Hogan Lake, Calaveras Co., California, USA	38.2101	38.1075	-120.723	-120.824
245	Belmont Co., Ohio, USA	40.1706	39.8725	-80.7572	-81.2247
246	Tamarindo, Costa Rica	10.3494	10.2555	-85.7833	-85.8698
247	Mafra, Portugal	38.9914	38.8782	-9.2422	-9.3823
248	Fontainhas, Sezimbra, Portugal	38.608	38.538	-9.05	-9.1324
249	Deer Grove West, Deer Grove Forest Preserve, Cook Co., Illinois, USA	42.1541	42.1336	-88.0628	-88.1007
251	Washington, USA	49.0667	45.614	-116.938	-125.156
252	Cincinnati, Ohio, USA	39.2327	39.0408	-84.326	-84.6256
253	Lake Almanor, California, USA	40.3675	40.1075	-120.894	-121.352
254	Greenville, California, USA	40.1752	40.1054	-120.872	-120.997
255	New South Wales, Australia	-28.8447	-36.1734	153.677	140.889
256	Emmet Co., Michigan, USA	45.8039	45.356	-84.7568	-85.1385
257	Marble Creek Campground, Madison Co., Missouri, USA	37.4499	37.4499	-90.5406	-90.5406
258	Eastern Shasta-Trinity National Forest, Siskiyou Co., California, USA	41.5815	40.9669	-121.571	-122.541
259	Diamond Lake, Douglas Co., Oregon, USA	43.247	43.098	-122.088	-122.245
260	Kundabung, New South Wales, Australia	-31.1423	-31.2862	152.9	152.692
261	Watson, Oklahoma, USA	34.4602	34.423	-94.5372	-94.5778
262	Swans Crossing State Forest, New South Wales, Australia	-31.5721	-31.6499	152.625	152.548
263	Maine, USA	47.443	42.876	-66.9067	-71.1035
264	State Forest near Comboyne, New South Wales, Australia	-31.578	-31.6364	152.492	152.433
265	Albany Co., Wyoming, USA	41.984	41.0131	-105.491	-106.381
266	Wildcat Hollow, Wayne National Forest, Ohio, USA	39.6787	39.5591	-81.9086	-82.0981
267	near Stampede Pass, Kittitas Co., Washington, USA	47.3686	47.2205	-121.215	-121.348
268	Strouds Run State Park, Athens, Ohio, USA	39.3784	39.3274	-82.0068	-82.072
269	Wilson River Primitive Reserve, New South Wales, Australia	-31.3507	-31.3958	152.693	152.626
270	Monarch Pass, Colorado, USA	38.5804	38.389	-106.307	-106.422
271	Wachusett Mountain State Reservation, Princeton, Massachusetts, USA	42.5074	42.4745	-71.8806	-71.9084
272	Lake Bistineau State Park, Webster Parish, Louisiana, USA	32.4646	32.4376	-93.357	-93.3958
273	McCloud, California, USA	41.285	41.2355	-122.112	-122.167
274	Wilson River, New South Wales, Australia	-31.2281	-31.2809	152.7	152.638
275	Crystal Springs Campground, Kittitas Co., Washington, USA	47.3179	47.299	-121.301	-121.324
276	Loup Loup Pass, Okanogan Co., Washington, USA	48.4308	48.341	-119.747	-119.955
277	Martin Dies Jr. State Park, Jasper Co., Texas, USA	30.861	30.8465	-94.2076	-94.2222
